Design files available,Data sheet,Open source design or open standard,Description,Vendor,Vendor Part Number,Self-source vendor suggestion,b,r,a,thelio,thelio-mira,thelio-major,thelio-mega,thelio-massive,thelio-spark,thelio-astra
N,https://www.arctic.ac/us_en/f14-pwm.html,N,Arctic Fan F14 PWM,Arctic,F14-PWM,Amazon,1,1,,1,0,1,0,4,0,0
N,https://www.arctic.ac/us_en/f12-pwm-pst.html,N,Arctic Fan F12 PWM PST,Arctic,F12 PWM PST,Amazon,1,1,,0,0,2,0,0,0,0
N,https://www.bequiet.com/en/casefans/3704,N,be quiet! SILENT WINGS 4 140mm PWM HS,be quiet!,BL097,Amazon,all,all,all,0,1,1,2,2,1,1
N,https://www.bequiet.com/en/casefans/3700,N,be quiet! SILENT WINGS 4 120mm PWM HS,be quiet!,BL094,Amazon,all,all,all,0,1,1,2,2,1,0
System76,,Y,140mm fan spacer,Laird Plastics,,,,,,1,1,1,1,4,,
System76,,Y,120mm fan spacer,Laird Plastics,,,,,,0,0,2,2,0,,
System76,,Y,Thelio acrylic wireless signal window,Laird Plastics,,,,,,1,1,1,1,,,
System76,,Y,Signal wiring Thelio,"Maoye Electrical Co.,LTD",,Hand made wires with wire and connectors from Amazon,,,,1,1,0,0,0,,
System76,,Y,Signal wiring Thelio Major,"Maoye Electrical Co.,LTD",,Hand made wires with wire and connectors from Amazon,,,,0,0,1,1,0,,
System76,,Y,Signal wiring Thelio Massive,"Maoye Electrical Co.,LTD",,Hand made wires with wire and connectors from Amazon,,,,0,0,0,0,1,,
System76,,Y,Thelio Major molex to dual floppy splitter (defined in Thelio Major signal wiring),"Maoye Electrical Co.,LTD",,Hand made wires with wire and connectors from Amazon,,,,0,0,1,1,0,,
